"...1","artist_name","track_name","track_id","popularity","year","genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","track_artist","track_album_id","track_album_name","track_album_release_date"
1775,"Passion Pit","Take a Walk","4Sfa7hdVkqlM8UW5LsSY3F",65,2012,"alt-rock",0.566,0.755,11,-5.526,1,0.0368,0.0338,0,0.315,0.445,101.006,264493,4,"Passion Pit","14JU5SskmcyckE5I8PY6lv","Gossamer","2012-07-20"
1780,"Stone Sour","Absolute Zero","14EORgkbXqIx5K4Haucmnb",64,2012,"alt-rock",0.552,0.988,1,-2.555,0,0.0787,0.000108,0.309,0.846,0.619,139.941,229840,4,"Stone Sour","2nCHgPLLyIgxFKUBYuMKPn","House of Gold & Bones, Part 1","2012-10-17"
1791,"Nine Lashes","Anthem Of The Lonely","1bKRtH1leT7y003VikaXUc",60,2012,"alt-rock",0.348,0.972,10,-3.144,0,0.0951,0.000364,0,0.119,0.652,196.213,241720,4,"Nine Lashes","5hNY9GQIaQR7MOelvlY0qu","World We View","2012-01-01"
11225,"Florida Georgia Line","Cruise","0i5el041vd6nxrGEU8QRxy",69,2012,"country",0.457,0.948,10,-3.364,1,0.0354,0.0191,0,0.0536,0.878,148,208960,4,"Florida Georgia Line","5MH765pytbQasmDxXArTah","Here's To The Good Times","2012-01-01"
12105,"MKTO","Classic","6FE2iI43OZnszFLuLtvvmg",79,2012,"dance",0.72,0.791,1,-4.689,1,0.124,0.0384,0,0.157,0.756,102.071,175427,4,"MKTO","5IenxFp0vpnXBUxPcwJtbE","MKTO","2012"
12106,"Pitbull","Timber (feat. Ke$ha)","3cHyrEgdyYRjgJKSOiOtcS",80,2012,"dance",0.581,0.963,11,-4.087,1,0.0981,0.0295,0,0.139,0.788,129.992,204160,4,"Pitbull","2F7tejLHzTqFq2XLol9ZGy","Global Warming: Meltdown (Deluxe Version)","2012"
12107,"Calvin Harris","Feel So Close - Radio Edit","1gihuPhrLraKYrJMAEONyc",78,2012,"dance",0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,206413,4,"Calvin Harris","7w19PFbxAjwZ7UVNp9z0uT","18 Months","2012-10-26"
12110,"Bruno Mars","Treasure","55h7vJchibLdUkxdlX3fK7",78,2012,"dance",0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,178560,4,"Bruno Mars","58ufpQsJ1DS5kq4hhzQDiI","Unorthodox Jukebox","2012-12-07"
12111,"P!nk","Just Give Me a Reason (feat. Nate Ruess)","1mKXFLRA179hdOWQBwUk9e",80,2012,"dance",0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,242733,4,"P!nk","2Q9oTK48eb85waX1fFJsvj","The Truth About Love","2012-09-18"
12112,"Kesha","Die Young","7EQGXaVSyEDsCWKmUcfpLk",76,2012,"dance",0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,211920,4,"Kesha","5ZQB1ZQ2Yx9YT3nZlR2Pgu","Warrior (Expanded Edition)","2012-11-30"
12113,"Swedish House Mafia","Don't You Worry Child - Radio Edit","2V65y3PX4DkRhy1djlxd9p",80,2012,"dance",0.612,0.84,11,-3.145,0,0.0509,0.112,0,0.116,0.438,129.042,212862,4,"Swedish House Mafia","3RKhRsifs4RWrqvWV1YpPY","Don't You Worry Child","2012-09-14"
12116,"Zedd","Clarity","60wwxj6Dd9NJlirf84wr2c",74,2012,"dance",0.509,0.781,8,-3.48,1,0.072,0.0398,0,0.0749,0.176,128,271427,4,"Zedd","7juWTdmjo0vYywWu8HiQxs","Clarity","2012-01-01"
12121,"Flo Rida","Wild Ones (feat. Sia)","1NpW5kyvO4XrNJ3rnfcNy3",76,2012,"dance",0.608,0.86,5,-5.324,0,0.0554,0.0991,0,0.262,0.437,127.075,232947,4,"Flo Rida","7eLwoxxWs6lfkVYJGkGNbk","Wild Ones","2012-06-22"
12124,"Flo Rida","Good Feeling","2LEF1A8DOZ9wRYikWgVlZ8",75,2012,"dance",0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011,248133,4,"Flo Rida","7eLwoxxWs6lfkVYJGkGNbk","Wild Ones","2012-06-22"
12125,"Flo Rida","Whistle","3bC1ahPIYt1btJzSSEyyrF",76,2012,"dance",0.747,0.937,0,-5.746,1,0.0453,0.0208,0,0.29,0.739,103.976,224653,4,"Flo Rida","7eLwoxxWs6lfkVYJGkGNbk","Wild Ones","2012-06-22"
12129,"Katy Perry","Part Of Me","6yARPLK0PV4heEyh7pVMGz",68,2012,"dance",0.667,0.922,5,-4.645,1,0.0353,0.000354,0,0.0867,0.761,130.01,216160,4,"Katy Perry","4zLOhyT4XIzyyl7KoSHWcE","Teenage Dream: The Complete Confection","2012-01-01"
12131,"Katy Perry","California Gurls","6tS3XVuOyu10897O3ae7bi",73,2012,"dance",0.791,0.754,0,-3.729,1,0.0569,0.00446,0,0.163,0.425,125.014,234653,4,"Katy Perry","5BvgP623rtvlc0HDcpzquz","Katy Perry - Teenage Dream: The Complete Confection","2012-03-12"
12134,"Katy Perry","Last Friday Night (T.G.I.F.)","455AfCsOhhLPRc68sE01D8",73,2012,"dance",0.649,0.815,3,-3.796,0,0.0415,0.00125,4.31e-05,0.671,0.765,126.03,230747,4,"Katy Perry","5BvgP623rtvlc0HDcpzquz","Katy Perry - Teenage Dream: The Complete Confection","2012-03-12"
12135,"Zedd","Stay The Night - Featuring Hayley Williams Of Paramore","2QtJA4gbwe1AcanB2p21aP",63,2012,"dance",0.596,0.738,8,-3.109,1,0.0411,0.109,0,0.0947,0.461,127.961,217347,4,"Zedd","4xak0izXQHOMV9Wu1mDAAy","Clarity (Deluxe)","2012"
12136,"Calvin Harris","Sweet Nothing (feat. Florence Welch)","24LS4lQShWyixJ0ZrJXfJ5",71,2012,"dance",0.573,0.929,8,-3.942,0,0.109,0.197,0.000112,0.0567,0.582,127.934,212560,4,"Calvin Harris","7w19PFbxAjwZ7UVNp9z0uT","18 Months","2012-10-26"
12137,"Bridgit Mendler","Ready or Not","5xvUgoVED1F4mBu8FL0HaW",69,2012,"dance",0.715,0.872,2,-3.835,1,0.0509,0.00351,3.84e-05,0.107,0.748,93.043,200947,4,"Bridgit Mendler","114sumrk5wTeMWHVin86QC","Hello My Name Is...","2012-01-01"
12141,"Katy Perry","Firework","4lCv7b86sLynZbXhfScfm2",69,2012,"dance",0.638,0.826,8,-4.968,1,0.0479,0.139,0,0.0803,0.649,124.072,227880,4,"Katy Perry","5BvgP623rtvlc0HDcpzquz","Katy Perry - Teenage Dream: The Complete Confection","2012-03-12"
12144,"Calvin Harris","I Need Your Love (feat. Ellie Goulding)","05SBRd4fXgn8FX7bf8BCAE",69,2012,"dance",0.695,0.869,8,-5.066,1,0.0483,0.41,0,0.237,0.58,124.989,234507,4,"Calvin Harris","7w19PFbxAjwZ7UVNp9z0uT","18 Months","2012-10-26"
12145,"Ne-Yo","Let Me Love You (Until You Learn To Love Yourself)","4kte3OcW800TPvOVgrLLj8",67,2012,"dance",0.658,0.677,5,-6.628,1,0.0393,0.248,0,0.368,0.248,124.91,251627,4,"Ne-Yo","4HPdvrPf9RGfJ2hNYrODpC","R.E.D. (Deluxe Edition)","2012-01-01"
12149,"Katy Perry","E.T.","4z8ssgZfs5TzKiO8HaGWXO",69,2012,"dance",0.603,0.872,5,-5.404,0,0.0792,0.0213,0,0.366,0.691,150.104,206373,4,"Katy Perry","5BvgP623rtvlc0HDcpzquz","Katy Perry - Teenage Dream: The Complete Confection","2012-03-12"
12151,"The Wanted","Glad You Came","3AGOgQzp0YcPH41u9p7dOp",60,2012,"dance",0.61,0.841,7,-4.579,0,0.0692,0.056,9.85e-06,0.118,0.431,126.889,198187,4,"The Wanted","0NN3zv0dQ73NkBd8tM7wFj","The Wanted (Special Edition)","2012-01-01"
12172,"Calvin Harris","Thinking About You (feat. Ayah Marar)","1KtD0xaLAikgIt5tPbteZQ",65,2012,"dance",0.725,0.874,0,-3.715,0,0.0396,0.00262,0.000412,0.0958,0.748,127.985,247933,4,"Calvin Harris","7w19PFbxAjwZ7UVNp9z0uT","18 Months","2012-10-26"
12192,"Chris Brown","Don't Wake Me Up","18VfHIPaCo0s6FTi1Fnp6T",63,2012,"dance",0.602,0.691,7,-5.197,0,0.051,0.0548,0,0.144,0.206,127.967,222307,4,"Chris Brown","4AGQTp6rk7v8fPbFu739l7","Fortune (Expanded Edition)","2012-07-03"
12230,"Thalia","Te Perdiste Mi Amor (feat. Prince Royce)","1Q8NiatGDc6YgefNwT7Jgu",62,2012,"dance",0.8,0.723,0,-6.404,0,0.0353,0.344,0,0.0956,0.916,128.017,220067,4,"Thalía","5HDevGeDLIZMhZKvRZLSkI","Habítame Siempre (Bonus Tracks Version)","2012-11-19"
